Index,Name,Frequency (MHz),Modulation,CTCSS,Delay (sec),Lockout,Priority
1,IMS RADIO,454.0000,auto,none,2,locked,off
2,#2 NEWGARDEN P,464.9250,auto,none,2,locked,off
3,#2 NEWGARDEN B,469.6000,auto,none,2,locked,off
4,#3 MCLAUGHLIN P,466.8250,auto,none,2,locked,off
5,#3 MCLAUGHLIN B,464.6750,auto,none,2,locked,off
6,#4 MALUKAS P,463.0125,auto,none,2,locked,off
7,#4 MALUKAS B,467.6875,auto,none,2,locked,off
8,#5 O'WARD P,460.5625,auto,none,2,locked,off
9,#5 O'WARD B,469.4375,auto,none,2,locked,off
10,#6 SIEGEL P,460.6625,auto,none,2,locked,off
11,#6 SIEGEL B,463.8375,auto,none,2,locked,off
12,#6 CASTRONEVES P,460.3375,auto,none,2,locked,off
13,#6 CASTRONEVES B,456.7625,auto,none,2,locked,off
14,#7 LUNDGAARD P,460.7625,auto,none,2,locked,off
15,#7 LUNDGAARD B,459.7750,auto,none,2,locked,off
16,#8 SIMPSON P,457.0250,auto,none,2,locked,off
17,#8 SIMPSON B,461.1125,auto,none,2,locked,off
18,#9 DIXON P,456.6500,auto,none,2,locked,off
19,#9 DIXON B,461.1875,auto,none,2,locked,off
20,#10 PALOU P,467.0375,auto,none,2,locked,off
21,#10 PALOU B,464.0375,auto,none,2,locked,off
22,#12 POWER P,466.2125,auto,none,2,locked,off
23,#12 POWER B,464.6000,auto,none,2,locked,off
24,#14 FERRUCCI P,467.0750,auto,none,2,locked,off
25,#14 FERRUCCI B,458.9125,auto,none,2,locked,off
26,#15 RAHAL P,466.9125,auto,none,2,locked,off
27,#15 RAHAL B,468.8875,auto,none,2,locked,off
28,#17 LARSON P,460.4500,auto,none,2,locked,off
29,#17 LARSON B,456.1375,auto,none,2,locked,off
30,#18 VEEKAY P,467.2000,auto,none,2,locked,off
31,#18 VEEKAY B,469.9375,auto,none,2,locked,off
32,#20 ROSSI P,469.1125,auto,none,2,locked,off
33,#20 ROSSI B,457.6750,auto,none,2,locked,off
34,#21 RASMUSSEN P,469.9250,auto,none,2,locked,off
35,#21 RASMUSSEN B,465.9625,auto,none,2,locked,off
36,#23 HUNTER-R. P,453.3750,auto,none,2,locked,off
37,#23 HUNTER-R. B,458.3750,auto,none,2,locked,off
38,#24 HARVEY P,461.0125,auto,none,2,locked,off
39,#24 HARVEY B,466.0125,auto,none,2,locked,off
40,#26 HERTA P,464.3000,auto,none,2,locked,off
41,#26 HERTA B,463.2125,auto,none,2,locked,off
42,#27 KIRKWOOD P,468.4875,auto,none,2,locked,off
43,#27 KIRKWOOD B,467.8875,auto,none,2,locked,off
44,#28 ERICSSON P,469.3000,auto,none,2,locked,off
45,#28 ERICSSON B,469.7500,auto,none,2,locked,off
46,#30 DEFRANCESCO P,468.2625,auto,none,2,locked,off
47,#30 DEFRANCESCO B,469.2625,auto,none,2,locked,off
48,#33 CARPENTER P,467.7125,auto,none,2,locked,off
49,#33 CARPENTER B,465.0375,auto,none,2,locked,off
50,#45 FOSTER P,466.3125,auto,none,2,locked,off
51,#45 FOSTER B,467.8375,auto,none,2,locked,off
52,#51 ABEL P,463.6000,auto,none,2,locked,off
53,#51 ABEL B,464.9375,auto,none,2,locked,off
54,#60 ROSENQVIST P,461.0750,auto,none,2,locked,off
55,#60 ROSENQVIST B,454.5000,auto,none,2,locked,off
56,#66 ARMSTRONG P,452.8000,auto,none,2,locked,off
57,#66 ARMSTRONG B,461.7250,auto,none,2,locked,off
58,#75 SATO P,460.4250,auto,none,2,locked,off
59,#75 SATO B,457.1750,auto,none,2,locked,off
60,#76 DALY P,458.1000,auto,none,2,locked,off
61,#76 DALY B,455.1500,auto,none,2,locked,off
62,#77 ROBB P,459.6500,auto,none,2,locked,off
63,#77 ROBB B,454.6500,auto,none,2,locked,off
64,#83 SHWARTZMAN P,461.1625,auto,none,2,locked,off
65,#83 SHWARTZMAN B,461.3375,auto,none,2,locked,off
66,#90 ILOTT P,462.8375,auto,none,2,locked,off
67,#90 ILOTT B,466.1625,auto,none,2,locked,off
68,#98 ANDRETTI P,464.1375,auto,none,2,locked,off
69,#98 ANDRETTI B,463.3500,auto,none,2,locked,off
